id,price,neighborhood,borough,accommodates,bathrooms,bedrooms,beds,review_scores_rating,number_of_reviews,listing_url
2595,NA,Midtown,Manhattan,1,1,0,1,4.68,49,https://www.airbnb.com/rooms/2595
5136,215,Sunset Park,Brooklyn,4,1.5,2,2,4.75,4,https://www.airbnb.com/rooms/5136
6848,81,Williamsburg,Brooklyn,3,1,2,1,4.58,193,https://www.airbnb.com/rooms/6848
6872,65,East Harlem,Manhattan,1,1,1,1,5,1,https://www.airbnb.com/rooms/6872
6990,65,East Harlem,Manhattan,1,1,1,1,4.88,247,https://www.airbnb.com/rooms/6990
7064,NA,Williamsburg,Brooklyn,2,NA,1,NA,4.91,13,https://www.airbnb.com/rooms/7064
7097,205,Fort Greene,Brooklyn,2,1,1,2,4.89,374,https://www.airbnb.com/rooms/7097
7801,290,Williamsburg,Brooklyn,2,1,0,1,4.9,12,https://www.airbnb.com/rooms/7801
8490,170,Bedford-Stuyvesant,Brooklyn,5,1,1,4,4.77,190,https://www.airbnb.com/rooms/8490
9357,175,Hell's Kitchen,Manhattan,2,1,NA,1,4.52,58,https://www.airbnb.com/rooms/9357
10452,90,Bedford-Stuyvesant,Brooklyn,2,1,1,2,4.65,80,https://www.airbnb.com/rooms/10452
11943,NA,Flatbush,Brooklyn,1,NA,1,NA,NA,0,https://www.airbnb.com/rooms/11943
12192,73,East Village,Manhattan,2,1,1,1,4.4,316,https://www.airbnb.com/rooms/12192
12937,185,Long Island City,Queens,3,1,1,2,4.92,405,https://www.airbnb.com/rooms/12937
12940,120,Bedford-Stuyvesant,Brooklyn,2,1,1,1,4.53,76,https://www.airbnb.com/rooms/12940
13808,136,Bedford-Stuyvesant,Brooklyn,2,1,1,1,4.65,204,https://www.airbnb.com/rooms/13808
14314,115,Greenpoint,Brooklyn,2,1,1,2,4.82,178,https://www.airbnb.com/rooms/14314
15341,231,Lower East Side,Manhattan,3,1,1,2,4.56,37,https://www.airbnb.com/rooms/15341
15385,96,Williamsburg,Brooklyn,1,1,1,1,4.88,58,https://www.airbnb.com/rooms/15385
15396,NA,Chelsea,Manhattan,4,NA,2,NA,5,5,https://www.airbnb.com/rooms/15396
16580,135,East Village,Manhattan,1,1,1,1,4.79,576,https://www.airbnb.com/rooms/16580
16821,129,East Village,Manhattan,1,1,1,1,4.72,204,https://www.airbnb.com/rooms/16821
16974,300,East Harlem,Manhattan,8,2,4,6,4.85,291,https://www.airbnb.com/rooms/16974
17037,230,East Village,Manhattan,2,1,1,1,4.8,54,https://www.airbnb.com/rooms/17037
18152,500,Upper East Side,Manhattan,2,1,2,1,4.41,147,https://www.airbnb.com/rooms/18152
18728,146,Chelsea,Manhattan,3,1.5,1,1,4.95,247,https://www.airbnb.com/rooms/18728
18961,NA,Kips Bay,Manhattan,2,NA,1,NA,5,1,https://www.airbnb.com/rooms/18961
19174,200,West Village,Manhattan,4,1,1,3,4.63,67,https://www.airbnb.com/rooms/19174
19282,110,Flatbush,Brooklyn,4,2,1,2,4.69,16,https://www.airbnb.com/rooms/19282
19812,105,Williamsburg,Brooklyn,2,1,1,2,4.49,59,https://www.airbnb.com/rooms/19812
20913,NA,Williamsburg,Brooklyn,2,NA,1,NA,4.05,165,https://www.airbnb.com/rooms/20913
21644,NA,Harlem,Manhattan,1,NA,NA,NA,5,3,https://www.airbnb.com/rooms/21644
21794,85,Chelsea,Manhattan,2,1,1,1,4.97,36,https://www.airbnb.com/rooms/21794
23135,200,Carroll Gardens,Brooklyn,2,1,1,1,4.71,317,https://www.airbnb.com/rooms/23135
23545,NA,Harlem,Manhattan,2,NA,1,NA,4.75,215,https://www.airbnb.com/rooms/23545
23686,450,West Village,Manhattan,4,2,3,3,4.42,57,https://www.airbnb.com/rooms/23686
24285,220,Park Slope,Brooklyn,5,3,3,7,4.83,91,https://www.airbnb.com/rooms/24285
25406,NA,Williamsburg,Brooklyn,4,NA,1,NA,4.62,29,https://www.airbnb.com/rooms/25406
26785,90,South Slope,Brooklyn,2,1,1,3,4.93,479,https://www.airbnb.com/rooms/26785
27883,100,East Village,Manhattan,3,1,NA,2,4.85,25,https://www.airbnb.com/rooms/27883
28907,150,Upper East Side,Manhattan,4,1,1,2,4.95,19,https://www.airbnb.com/rooms/28907
29013,90,Bedford-Stuyvesant,Brooklyn,2,1,1,1,4.71,73,https://www.airbnb.com/rooms/29013
29628,107,Clinton Hill,Brooklyn,2,1,1,1,4.94,417,https://www.airbnb.com/rooms/29628
31130,200,Hell's Kitchen,Manhattan,1,1,1,1,4.89,75,https://www.airbnb.com/rooms/31130
31555,NA,West Village,Manhattan,2,NA,NA,NA,4.71,30,https://www.airbnb.com/rooms/31555
31902,NA,East Flatbush,Brooklyn,2,NA,3,NA,4.33,4,https://www.airbnb.com/rooms/31902
31994,121,Clinton Hill,Brooklyn,2,1,1,1,4.54,584,https://www.airbnb.com/rooms/31994
32037,NA,Clinton Hill,Brooklyn,3,NA,1,NA,4.84,92,https://www.airbnb.com/rooms/32037
33009,NA,Williamsburg,Brooklyn,2,1,1,1,4.96,296,https://www.airbnb.com/rooms/33009
34760,76,Fort Greene,Brooklyn,1,2,1,1,5,35,https://www.airbnb.com/rooms/34760
36121,200,Prospect Heights,Brooklyn,1,1,1,1,4.88,9,https://www.airbnb.com/rooms/36121
36647,85,East Harlem,Manhattan,2,1,1,1,4.77,102,https://www.airbnb.com/rooms/36647
38663,900,Boerum Hill,Brooklyn,2,2.5,5,5,4.7,43,https://www.airbnb.com/rooms/38663
38833,248,Harlem,Manhattan,2,1,1,1,4.85,217,https://www.airbnb.com/rooms/38833
39282,154,Williamsburg,Brooklyn,2,1,1,1,4.82,265,https://www.airbnb.com/rooms/39282
39572,139,Hell's Kitchen,Manhattan,2,NA,1,1,4.86,44,https://www.airbnb.com/rooms/39572
39593,78,Sunnyside,Queens,1,1,1,1,4.93,33,https://www.airbnb.com/rooms/39593
39704,NA,Bedford-Stuyvesant,Brooklyn,4,NA,1,NA,4.71,337,https://www.airbnb.com/rooms/39704
42300,750,Lower East Side,Manhattan,5,2,3,4,4.8,69,https://www.airbnb.com/rooms/42300
42729,185,Carroll Gardens,Brooklyn,2,1,1,1,4.66,220,https://www.airbnb.com/rooms/42729
43105,170,Midtown,Manhattan,2,1,1,1,5,4,https://www.airbnb.com/rooms/43105
44229,110,Fort Greene,Brooklyn,2,1,1,1,4.69,232,https://www.airbnb.com/rooms/44229
